2024-11-25 22:15:38,216 INFO    MainThread:76968 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-25 22:15:38,217 INFO    MainThread:76968 [wandb_setup.py:_flush():79] Configure stats pid to 76968
2024-11-25 22:15:38,217 INFO    MainThread:76968 [wandb_setup.py:_flush():79] Loading settings from /Users/devinmonythomas/.config/wandb/settings
2024-11-25 22:15:38,217 INFO    MainThread:76968 [wandb_setup.py:_flush():79] Loading settings from /Users/devinmonythomas/a-b-testing-model-testing-framework/wandb/settings
2024-11-25 22:15:38,217 INFO    MainThread:76968 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-25 22:15:38,217 INFO    MainThread:76968 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-25 22:15:38,217 INFO    MainThread:76968 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'test.py', 'program_abspath': '/Users/devinmonythomas/a-b-testing-model-testing-framework/test.py', 'program': '/Users/devinmonythomas/a-b-testing-model-testing-framework/test.py'}
2024-11-25 22:15:38,217 INFO    MainThread:76968 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-25 22:15:38,217 INFO    MainThread:76968 [wandb_init.py:_log_setup():533] Logging user logs to /Users/devinmonythomas/a-b-testing-model-testing-framework/wandb/run-20241125_221538-lueeo7fj/logs/debug.log
2024-11-25 22:15:38,217 INFO    MainThread:76968 [wandb_init.py:_log_setup():534] Logging internal logs to /Users/devinmonythomas/a-b-testing-model-testing-framework/wandb/run-20241125_221538-lueeo7fj/logs/debug-internal.log
2024-11-25 22:15:38,217 INFO    MainThread:76968 [wandb_init.py:init():619] calling init triggers
2024-11-25 22:15:38,217 INFO    MainThread:76968 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-11-25 22:15:38,217 INFO    MainThread:76968 [wandb_init.py:init():669] starting backend
2024-11-25 22:15:38,217 INFO    MainThread:76968 [wandb_init.py:init():673] sending inform_init request
2024-11-25 22:15:38,218 INFO    MainThread:76968 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-11-25 22:15:38,219 INFO    MainThread:76968 [wandb_init.py:init():686] backend started and connected
2024-11-25 22:15:38,221 INFO    MainThread:76968 [wandb_init.py:init():781] updated telemetry
2024-11-25 22:15:38,223 INFO    MainThread:76968 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-25 22:15:38,768 INFO    MainThread:76968 [wandb_init.py:init():867] starting run threads in backend
2024-11-25 22:15:38,843 INFO    MainThread:76968 [wandb_run.py:_console_start():2456] atexit reg
2024-11-25 22:15:38,843 INFO    MainThread:76968 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-25 22:15:38,843 INFO    MainThread:76968 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-25 22:15:38,843 INFO    MainThread:76968 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-25 22:15:38,844 INFO    MainThread:76968 [wandb_init.py:init():911] run started, returning control to user process
2024-11-25 22:15:41,656 INFO    MainThread:76968 [wandb_run.py:_config_callback():1387] config_cb None None {'name': 'Phi-2 4bit', 'model_id': 'microsoft/phi-2', 'quantization': '4bit', 'batch_size': 1, 'max_length': 128}
2024-11-25 22:15:41,817 WARNING MsgRouterThr:76968 [router.py:message_loop():75] message_loop has been closed
