2024-11-25 22:18:12,074 INFO    MainThread:77507 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-25 22:18:12,075 INFO    MainThread:77507 [wandb_setup.py:_flush():79] Configure stats pid to 77507
2024-11-25 22:18:12,075 INFO    MainThread:77507 [wandb_setup.py:_flush():79] Loading settings from /Users/devinmonythomas/.config/wandb/settings
2024-11-25 22:18:12,075 INFO    MainThread:77507 [wandb_setup.py:_flush():79] Loading settings from /Users/devinmonythomas/a-b-testing-model-testing-framework/wandb/settings
2024-11-25 22:18:12,075 INFO    MainThread:77507 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-25 22:18:12,075 INFO    MainThread:77507 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-25 22:18:12,075 INFO    MainThread:77507 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'test.py', 'program_abspath': '/Users/devinmonythomas/a-b-testing-model-testing-framework/test.py', 'program': '/Users/devinmonythomas/a-b-testing-model-testing-framework/test.py'}
2024-11-25 22:18:12,075 INFO    MainThread:77507 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-25 22:18:12,075 INFO    MainThread:77507 [wandb_init.py:_log_setup():533] Logging user logs to /Users/devinmonythomas/a-b-testing-model-testing-framework/wandb/run-20241125_221812-6xbpa9yl/logs/debug.log
2024-11-25 22:18:12,075 INFO    MainThread:77507 [wandb_init.py:_log_setup():534] Logging internal logs to /Users/devinmonythomas/a-b-testing-model-testing-framework/wandb/run-20241125_221812-6xbpa9yl/logs/debug-internal.log
2024-11-25 22:18:12,075 INFO    MainThread:77507 [wandb_init.py:init():619] calling init triggers
2024-11-25 22:18:12,075 INFO    MainThread:77507 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-11-25 22:18:12,075 INFO    MainThread:77507 [wandb_init.py:init():669] starting backend
2024-11-25 22:18:12,075 INFO    MainThread:77507 [wandb_init.py:init():673] sending inform_init request
2024-11-25 22:18:12,076 INFO    MainThread:77507 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-11-25 22:18:12,076 INFO    MainThread:77507 [wandb_init.py:init():686] backend started and connected
2024-11-25 22:18:12,079 INFO    MainThread:77507 [wandb_init.py:init():781] updated telemetry
2024-11-25 22:18:12,080 INFO    MainThread:77507 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-25 22:18:12,467 INFO    MainThread:77507 [wandb_init.py:init():867] starting run threads in backend
2024-11-25 22:18:12,546 INFO    MainThread:77507 [wandb_run.py:_console_start():2456] atexit reg
2024-11-25 22:18:12,546 INFO    MainThread:77507 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-25 22:18:12,546 INFO    MainThread:77507 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-25 22:18:12,546 INFO    MainThread:77507 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-25 22:18:12,547 INFO    MainThread:77507 [wandb_init.py:init():911] run started, returning control to user process
2024-11-25 22:18:15,286 INFO    MainThread:77507 [wandb_run.py:_config_callback():1387] config_cb None None {'name': 'Phi-2 4bit', 'model_id': 'microsoft/phi-2', 'quantization': '4bit', 'batch_size': 1, 'max_length': 128}
2024-11-25 22:18:15,374 WARNING MsgRouterThr:77507 [router.py:message_loop():75] message_loop has been closed
